,Region,Area,Site_Name,place_name(googleAPI),lat,lng,tag,tag_zh,Site_Type,rating,formatted_address
19,北海道,道央,大通公園,大通公園,43.059875,141.3477599,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Building ,Autumn ,Green ,Flower ,Summer ,Noted place ,Autumn leaves ,Cloud ,Plant ,Travel ,Tourist attractions ,Early summer ,Tourist attractions ,Daytime ,Buildings ,Night view ,City ,Night ,Hokkaido ,October ,Sunny ,Park ,Light up","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,建設 ,秋天 ,綠色 ,花 ,夏 ,名所 ,紅葉 ,雲 ,植物 ,旅行 ,觀光名所 ,初夏 ,中午 ,旅遊景點 ,建築物 ,街 ,夜景 ,晚上 ,北海道 ,10月 ,陽光明媚 ,公園 ,亮燈",,4.2,日本、〒060-0042 北海道札幌市中央区大通西７丁目
23,北海道,道央,小樽運河,小樽運河,43.1979638,141.0031005,"Landscape ,Japan ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Building ,Summer ,Noted place ,Travel ,Tourist attractions ,Daytime ,Buildings ,Night view ,City ,Night ,River ,Hokkaido ,Landscape ,Sunny ,Snow ,Light up ,Cityscape ,July ,Trip ,Asia ,September ,Historic site ,Fine weather ,Historic building","風景 ,日本 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,建設 ,夏 ,名所 ,旅行 ,中午 ,旅遊景點 ,建築物 ,街 ,夜景 ,晚上 ,河 ,北海道 ,景色 ,陽光明媚 ,雪 ,亮燈 ,街燈 ,7月 ,旅 ,9月 ,亞洲 ,歷史遺址 ,晴天 ,歷史建築",,4.1,日本、〒047-0007 北海道小樽市港町５
27,北海道,道南,函館山,函館山,41.7592941,140.703917,"Landscape ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Mountain ,Noted place ,Travel ,Tourist attractions ,Sea ,Tourist attractions ,May ,Superb view ,City ,Hokkaido ,Sunny ,Fine weather ,Townscape ,View ,City ,View ,Viewing platform ,Port ,View ,Hakodate-shi ,Ropeway ,Mt. Hakodate","風景 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,山 ,名所 ,旅行 ,觀光名所 ,海 ,旅遊景點 ,5月 ,絶景 ,街 ,北海道 ,陽光明媚 ,晴天 ,市區街道 ,展望 ,都市 ,眺望 ,展望台 ,港 ,眺望 ,函館市 ,空中纜車 ,函館山",,4.5,日本、〒040-0000 北海道函館市函館山
31,北海道,道南,五稜郭,特別史跡五稜郭跡,41.7971839,140.7568306,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tree ,Tourism ,Building ,Spring ,Green ,Flower ,Noted place ,Cloud ,Plant ,Travel ,April ,Tourist attractions ,Cherry ,Winter ,Night view ,Pink ,In full bloom ,Hokkaido ,October ,Landscape ,Snow ,Park ,Light up ,Cityscape","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,木頭 ,觀光 ,建設 ,春天 ,綠色 ,花 ,名所 ,雲 ,植物 ,旅行 ,4月 ,旅遊景點 ,櫻花 ,冬 ,夜景 ,粉色 ,盛開 ,北海道 ,10月 ,景色 ,公園 ,雪 ,亮燈 ,街燈",,4.4,日本、〒040-0001 北海道函館市五稜郭町４４
32,關西,大阪,道頓堀,道頓堀,34.6687235,135.5012953,"Landscape ,Japan ,Sightseeing resort ,Tourism ,Noted place ,Travel ,Tourist attractions ,Night view ,City ,Night ,Light up ,Cityscape ,August ,Trip ,Asia ,February ,Kinki ,Kansai ,Townscape ,City ,Building ,Large city ,City landscape ,Osaka Prefecture ,Osaka-shi ,Store ,Shopping street ,Osaka ,Busy downtown street ,Chuo-ku","風景 ,日本 ,觀光地 ,觀光 ,名所 ,旅行 ,旅遊景點 ,街 ,夜景 ,晚上 ,亮燈 ,街燈 ,8月 ,旅 ,亞洲 ,2月 ,近畿 ,市區街道 ,關西 ,都市 ,大樓 ,都市風景 ,都會 ,大阪府 ,大阪市 ,商店 ,商店街 ,大阪 ,繁華街 ,中央區",,4.3,日本、〒542-0071 大阪府大阪市中央区道頓堀１丁目
36,關西,大阪,大阪城公園,大阪城公園,34.686669,135.5259966,"Japan ,Building ,November ,Buildings ,Castle ,Beautiful ,Architecture ,Castle building ,Architectural structure ,Old ,Osaka ,Historical ,Osaka Castle","日本 ,建設 ,11月 ,建築物 ,城 ,漂亮 ,建築 ,城 ,建築物 ,老 ,大阪 ,歴史的 ,大阪城",,4.3,日本、〒540-0002 大阪府大阪市中央区大阪城１
40,沖繩,沖繩,沖繩美麗海水族館,沖縄美ら海水族館,26.694158,127.877932,"Landscape ,Japan ,Nature ,Sightseeing resort ,Tourism ,Summer ,Travel ,Sea ,Blue ,Water ,February ,December ,March ,January ,Tourists ,Okinawa Prefecture ,Animal ,Mid summer ,Okinawa ,Creature ,Tropical ,Resort ,Underwater ,Fish ,Swim ,Couple ,Ryukyu ,Water tank ,Underwater ,Aquarium","風景 ,日本 ,自然 ,觀光地 ,觀光 ,夏 ,旅行 ,海 ,藍色 ,水 ,2月 ,12月 ,3月 ,1 月 ,觀光客 ,沖繩縣 ,動物 ,盛夏 ,沖繩 ,生物 ,南國 ,度假村 ,水中 ,魚 ,游泳 ,情侶 ,琉球 ,水箱 ,海中 ,水族館",,4.5,日本、〒905-0206 沖縄県国頭郡本部町石川４２４
41,沖繩,沖繩,首里城,首里城,26.2170135,127.7195208,"Landscape ,Sightseeing resort ,Tourism ,Noted place ,Tourist attractions ,Tourist attractions ,November ,Night ,October ,Light up ,World heritage site ,History ,September ,World cultural heritage ,Historic building ,Scenic spot ,Castle ,Blue ,Red ,Okinawa Prefecture ,Ruined castle ,Okinawa ,Tropical ,Resort ,Cultural property ,Noted places of historic interest ,Festival ,Ryukyu ,Naha-shi","風景 ,觀光地 ,觀光 ,名所 ,觀光名所 ,11月 ,旅遊景點 ,晚上 ,10月 ,亮燈 ,世界文化遺產 ,歷史 ,9月 ,世界文化遺產 ,歷史建築 ,城 ,風景名勝區 ,藍色 ,紅 ,沖繩縣 ,城址 ,沖繩 ,南國 ,度假村 ,文化財 ,名所遺跡 ,琉球 ,祭典 ,那霸",,4.2,日本、〒903-0815 沖縄県那覇市首里金城町１丁目２
45,關西,京都,鴨川納涼床,鴨川納涼床,35.0053447,135.7713594,"Landscape ,Japan ,Sunny ,Sightseeing resort ,Tourism ,Building ,Summer ,Noted place ,Travel ,Tourist attractions ,Early summer ,Tourist attractions ,Daytime ,May ,Night view ,Night ,River ,Cityscape ,June ,Kyoto Prefecture ,Trip ,Kyoto-shi ,Kyoto ,Fine weather ,Harmony ,Townscape ,Kansai ,Torrent ,Japanese-style ,Clear stream","風景 ,日本 ,晴天 ,觀光地 ,觀光 ,建設 ,夏 ,名所 ,旅行 ,觀光名所 ,初夏 ,中午 ,旅遊景點 ,5月 ,夜景 ,晚上 ,河 ,街燈 ,6月 ,京都府 ,旅 ,京都市 ,京都 ,晴天 ,和 ,市區街道 ,關西 ,溪流 ,日本風格 ,清流",,4.4,日本、〒604-0922 京都府京都市中京区東生洲町４８９
46,關東,橫濱,橫濱港區未來,みなとみらい駅,35.4572221,139.6329595,,,,4.2,日本、〒220-0012 神奈川県横浜市西区みなとみらい３丁目５
47,關東,橫濱,中華街,横浜中華街,35.4423591,139.6463881,"Landscape ,Japan ,Sunny ,Sightseeing resort ,Tourism ,Noted place ,Travel ,Tourist attractions ,Early summer ,Tourist attractions ,November ,Daytime ,Night view ,City ,Night ,Sunny ,Light up ,Cityscape ,June ,Trip ,Asia ,Fine weather ,Kanto ,December ,Townscape ,Kanagawa Prefecture ,City ,Tourists ,Kanagawa ,Gate","風景 ,日本 ,晴天 ,觀光地 ,觀光 ,名所 ,旅行 ,觀光名所 ,初夏 ,11月 ,中午 ,旅遊景點 ,街 ,夜景 ,晚上 ,陽光明媚 ,亮燈 ,街燈 ,6月 ,旅 ,亞洲 ,晴天 ,關東 ,12月 ,市區街道 ,神奈川縣 ,都市 ,觀光客 ,門 ,神奈川",,4,日本、〒231-0023 神奈川県横浜市中区山下町
48,關東,箱根,箱根登山鐵道,早雲山駅,35.246463,139.035595,"Landscape ,Japan ,Nature ,Sightseeing resort ,Tourism ,Green ,Mountain ,Flower ,Summer ,Plant ,Travel ,Early summer ,May ,Fresh green ,Superb view ,Pink ,In full bloom ,Landscape ,June ,July ,Trip ,Valley, Canyon, Gorge ,Vehicle ,Kanto ,Leaf ,Kanagawa Prefecture ,Torrent ,Hot Spring ,Countryside ,Tree","風景 ,日本 ,自然 ,觀光地 ,觀光 ,綠色 ,山 ,花 ,夏 ,植物 ,旅行 ,初夏 ,5月 ,鮮綠 ,絶景 ,粉色 ,盛開 ,景色 ,7月 ,6月 ,旅 ,溪谷 ,遊樂設施 ,關東 ,葉 ,神奈川縣 ,溪流 ,溫泉 ,田舎 ,樹木",,3.8,日本
52,關東,箱根,蘆之湖,芦ノ湖,35.2095674,139.0034626,"Landscape ,Nature ,Tourism ,Winter ,Landscape ,Sunny ,Lake ,February ,World cultural heritage ,Fine weather ,Cultural heritage ,Mt. Fuji ,Sunrise glow ,Torii ,Surface of a lake ,Morning sun ,Dawn ,Early in the morning ,Snowcap ,Fuji ,Symmetry ,Lake Ahinoko ,Midwinter ,Red Fuji ,Mirror surface ,Inverted image of Mt. Fuji ,Crater","風景 ,自然 ,觀光 ,冬 ,景色 ,陽光明媚 ,湖 ,2月 ,世界文化遺產 ,晴天 ,文化遺產 ,富士山 ,朝霞 ,鳥居 ,湖面 ,朝日 ,黎明 ,一大早 ,冠雪 ,富士 ,對稱 ,入冬 ,蘆之湖 ,赤富士 ,鏡面 ,逆富士 ,火山口",,4.3,日本、〒250-0522 神奈川県足柄下郡箱根町元箱根 芦ノ湖
56,關東,鎌倉,鶴岡八幡宮,鶴岡八幡宮,35.3260978,139.5564131,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tree ,Tourism ,Building ,Spring ,Noted place ,Cloud ,Travel ,Tourist attractions ,Tourist attractions ,November ,Winter ,Fresh green ,Night view ,Night ,October ,Sunny ,Light up ,Green ,Blue ,Temple ,History ,Shrine ,Light ,February","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,木頭 ,觀光 ,建設 ,春天 ,名所 ,雲 ,旅行 ,觀光名所 ,11月 ,旅遊景點 ,冬 ,鮮綠 ,夜景 ,晚上 ,10月 ,陽光明媚 ,亮燈 ,藍色 ,綠色 ,寺 ,歷史 ,神社 ,光 ,2月",,4.3,日本、〒248-8588 神奈川県鎌倉市雪ノ下２丁目１−３１
60,關東,鎌倉,鎌倉大佛,鎌倉大仏,35.3167125,139.5356989,"Landscape ,Japan ,Blue sky ,Sightseeing resort ,Tourism ,Autumn ,Noted place ,Autumn leaves ,Cloud ,Travel ,Tourist attractions ,Tourist attractions ,Cherry ,Landscape ,Light up ,Green ,August ,Blue ,Temple ,Historic building ,Kanto ,Harmony ,December ,March ,White ,Kanagawa Prefecture ,Buddhist temples and Shinto shrines ,Cherry blossom ,Cherry blossom ,Landscape","風景 ,日本 ,藍藍的天空 ,觀光地 ,觀光 ,秋天 ,名所 ,紅葉 ,雲 ,旅行 ,觀光名所 ,旅遊景點 ,櫻花 ,景色 ,亮燈 ,藍色 ,綠色 ,8月 ,寺 ,關東 ,歷史建築 ,12月 ,和 ,3月 ,白色 ,神奈川縣 ,寺社佛閣 ,櫻花 ,櫻花 ,景觀",,4.3,日本、〒248-0016 神奈川県鎌倉市長谷４丁目２−２８
64,關東,日光,日光東照宮,日光東照宮,36.7571715,139.599984,"Landscape ,Japan ,Nature ,Sunny ,Sightseeing resort ,Tourism ,Building ,Autumn ,Green ,Mountain ,Noted place ,Travel ,Tourist attractions ,Tourist attractions ,Buildings ,Winter ,May ,River ,October ,Bridge ,August ,World heritage site ,Shrine ,Water ,World cultural heritage ,Historic site ,Kanto ,Historic building ,Cultural heritage ,Grounds of a shrine","風景 ,日本 ,自然 ,晴天 ,觀光地 ,觀光 ,建設 ,秋天 ,綠色 ,山 ,名所 ,旅行 ,觀光名所 ,旅遊景點 ,建築物 ,冬 ,5月 ,河 ,10月 ,橋 ,8月 ,世界文化遺產 ,神社 ,水 ,世界文化遺產 ,歷史遺址 ,關東 ,歷史建築 ,文化遺產 ,境内",,4.4,日本、〒321-1431 栃木県日光市山内２３０１
68,關西,京都,二條城,元離宮二条城,35.0142299,135.748218,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Building ,Autumn ,Spring ,Noted place ,Autumn leaves ,Cloud ,Travel ,Tourist attractions ,April ,Tourist attractions ,November ,Cherry ,Night view ,Night ,In full bloom ,Landscape ,Sunny ,Light up ,July ,World heritage site ,History ,Kyoto Prefecture ,Shrine","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,建設 ,秋天 ,春天 ,名所 ,紅葉 ,雲 ,旅行 ,觀光名所 ,4月 ,11月 ,旅遊景點 ,櫻花 ,夜景 ,晚上 ,盛開 ,景色 ,陽光明媚 ,亮燈 ,7月 ,世界文化遺產 ,歷史 ,京都府 ,神社",,4.4,日本、〒604-8301 京都府京都市中京区二条城町５４１
72,關西,京都,京都御所,京都御所,35.0254135,135.7621246,"Japan ,Blue sky ,Autumn ,Spring ,Autumn leaves ,April ,November ,Cherry ,In full bloom ,Kyoto-shi ,Kyoto ,Yellow leaf ,Fine weather ,March ,Japanese maple ,Cherry blossom ,Temples and shrines ,Ancient city ,Autumn with beautiful leaves ,Ginkgo ,Fine autumn weather ,Fallen leaf ,Cherry blossom in full bloom ,Ninna-ji Temple ,Japanese zelkova ,Kyoto Imperial Palace ,Kyoto Imperial Gardens ,Cherry blossoms of Omuro","日本 ,藍藍的天空 ,秋天 ,春天 ,紅葉 ,4月 ,11月 ,櫻花 ,盛開 ,京都市 ,黄葉 ,京都 ,晴天 ,3月 ,紅葉 ,櫻花 ,寺院 ,古都 ,錦秋 ,銀杏 ,落葉 ,秋季寧添 ,櫻花爛漫 ,仁和寺 ,櫸樹 ,京都御所 ,京都御苑 ,櫻花",,4.4,日本、〒602-0881 京都府京都市上京区京都御苑３
73,關西,京都,東福寺,東福寺,34.9767101,135.7749674,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Building ,Autumn ,Green ,Summer ,Noted place ,Autumn leaves ,Cloud ,Tourist attractions ,Early summer ,Tourist attractions ,November ,Winter ,Fresh green ,October ,Landscape ,Sunny ,Snow ,August ,Temple ,History ,Kyoto Prefecture ,Trip ,Kyoto-shi","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,建設 ,秋天 ,綠色 ,夏 ,名所 ,紅葉 ,雲 ,觀光名所 ,初夏 ,11月 ,旅遊景點 ,冬 ,鮮綠 ,10月 ,景色 ,陽光明媚 ,雪 ,8月 ,寺 ,歷史 ,京都府 ,旅 ,京都市",,4.4,日本、〒605-0981 京都府京都市東山区本町７７８
77,關西,京都,龍安寺,龍安寺,35.0344943,135.7182634,"Landscape ,Japan ,Nature ,Sunny ,Sightseeing resort ,Tree ,Tourism ,Autumn ,Spring ,Autumn leaves ,Plant ,Tourist attractions ,April ,November ,Cherry ,Winter ,In full bloom ,Landscape ,Snow ,Beautiful ,Temple ,World heritage site ,Kyoto Prefecture ,Kyoto-shi ,Kyoto ,World cultural heritage ,Historic site ,Garden ,Harmony ,Kinki","風景 ,日本 ,自然 ,晴天 ,觀光地 ,木頭 ,觀光 ,秋天 ,春天 ,紅葉 ,植物 ,觀光名所 ,4月 ,11月 ,櫻花 ,冬 ,盛開 ,景色 ,雪 ,寺 ,美麗 ,世界文化遺產 ,京都府 ,京都市 ,京都 ,世界文化遺產 ,歷史遺址 ,花園 ,12月 ,和",,4.4,日本、〒616-8001 京都府京都市右京区龍安寺御陵ノ下町１３
78,關東,日光,華嚴瀑布(華嚴瀧),華厳の滝,36.7379925,139.5020685,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Natural landscape ,Autumn ,Spring ,Mountain ,Autumn leaves ,Cloud ,Winter ,Fresh green ,October ,Landscape ,Snow ,June ,Beautiful ,World heritage site ,Lake ,Asia ,Water ,World cultural heritage ,Waterfall ,Scenic spot ,January ,Snow coverage ,Beautiful","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,自然風景 ,秋天 ,春天 ,山 ,紅葉 ,雲 ,冬 ,鮮綠 ,10月 ,景色 ,雪 ,6月 ,美麗 ,世界文化遺產 ,湖 ,亞洲 ,水 ,世界文化遺產 ,瀑布 ,風景名勝區 ,1 月 ,積雪 ,漂亮",,4.3,日本、〒321-1661 栃木県日光市中宮祠
79,關東,日光,小田代原,小田代ヶ原,36.7754665,139.4252593,"Landscape ,Nature ,Tree ,Autumn ,Autumn leaves ,Morning ,September ,Japanese maple ,Plateau, Highlands ,Trekking ,Hiking ,Nikko, Sunlight ,Nikko-shi ,Marsh ,Tochigi ,Early autumn ,White birch ,Oku-nikko ,Yellow leaves of grass ,Odashirogahara ,Noble woman ,Odashirogahara ,White birch ,Odashirogahara","風景 ,自然 ,木頭 ,秋天 ,紅葉 ,早上 ,9月 ,紅葉 ,高原 ,遠足  ,健行 ,陽光 ,日光市 ,沼澤 ,栃木 ,初秋 ,白樺 ,奧日光 ,紅草 ,小田代原 ,貴婦人 ,小田代原 ,白樺 ,小田代原",,3.8,日本、〒321-1661 栃木県日光市中宮祠
80,中部,富士山,富士山本宮淺間大社,富士山本宮浅間大社,35.2271964,138.6102114,"Landscape ,Japan ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Natural landscape ,Spring ,Flower ,Noted place ,Autumn leaves ,Plant ,Travel ,Tourist attractions ,April ,Tourist attractions ,Daytime ,Cherry ,Water surface ,Superb view ,Night view ,Night ,Pink ,In full bloom ,Landscape ,Sunny ,Snow ,Light up ,Blue ,Red","風景 ,日本 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,自然風景 ,春天 ,花 ,名所 ,紅葉 ,植物 ,旅行 ,觀光名所 ,4月 ,中午 ,旅遊景點 ,櫻花 ,水面 ,絶景 ,夜景 ,晚上 ,粉色 ,盛開 ,景色 ,陽光明媚 ,雪 ,亮燈 ,藍色 ,紅色",,4.4,日本、〒418-0067 静岡県富士宮市宮町１−１
84,中部,富士山,河口湖,河口湖,35.5170946,138.7517787,"Landscape ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Autumn ,Mountain ,Flower ,Noted place ,Cloud ,Plant ,November ,Water surface ,May ,Pink ,Landscape ,Sunny ,Snow ,Green ,Blue ,Beautiful ,World heritage site ,Morning ,Lake ,September ,World cultural heritage ,Flower garden ,Snowscape ,March ,Fresh","風景 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,秋天 ,山 ,花 ,名所 ,雲 ,植物 ,11月 ,水面 ,5月 ,粉色 ,景色 ,陽光明媚 ,雪 ,藍色 ,綠色 ,美麗 ,世界文化遺產 ,早上 ,湖 ,9月 ,世界文化遺產 ,花卉園 ,雪景 ,3月 ,清爽",,4.5,日本、山梨県南都留郡富士河口湖町 河口湖
